==============MVS CALCULATE IOU from 1 to 128===============
Corrected: True
Maximized: True
IOU 107: 0.08096849778703463
IOU 108: 0.14848365498227648
IOU 109: 0.12520369364475828
IOU 110: 0.1291390728476821
IOU 111: 0.1102880658436214
IOU 112: 0.08727539420608728
IOU 113: 0.07225433526011561
IOU 114: 0.11373145682769113
IOU 115: 0.07997143877186719
IOU 116: 0.08820769471379418
IOU 117: 0.10402177199879044
IOU 118: 0.09866123399301513
IOU 119: 0.09652619589977221
IOU 120: 0.10776859504132232
IOU 121: 0.11668514412416851
IOU 122: 0.12866333095067906
IOU 123: 0.1077628562070095
IOU 124: 0.12744761250429407
IOU 125: 0.11779722830051058
IOU 126: 0.13703190013869626
IOU 127: 0.11234705228031146
IOU 128: 0.16764132553606237
Mean 0.12


==============MVS CALCULATE IOU from 1 to 128===============
Corrected: False
Maximized: False
IOU 1: 0.06765523632993513
IOU 2: 0.0684931506849315
IOU 3: 0.10313447927199192
IOU 4: 0.05965241897604509
IOU 5: 0.12537060567556121
IOU 6: 0.08712121212121213
IOU 7: 0.04
IOU 8: 0.023670793882010197
IOU 9: 0.1338709677419355
IOU 10: 0.06852791878172589
IOU 11: 0.05424445227192674
IOU 12: 0.06441872169099144
IOU 13: 0.04087193460490463
IOU 14: 0.16264521894548703
IOU 15: 0.13760276936391172
IOU 16: 0.05034612964128383
IOU 17: 0.0807006568658117
IOU 18: 0.07740213523131673
IOU 19: 0.048594377510040164
IOU 20: 0.010036130068245684
IOU 21: 0.09325681492109039
IOU 22: 0.07899382171226832
IOU 23: 0.16121403232163972
IOU 24: 0.06913183279742766
IOU 25: 0.22138047138047137
IOU 26: 0.17210440456769985
IOU 27: 0.2300509337860781
IOU 28: 0.09046563192904657
IOU 29: 0.12780162136385312
IOU 30: 0.013263525305410123
IOU 31: 0.08356218124754806
IOU 32: 0.06369731800766283
IOU 33: 0.08111285266457681
IOU 34: 0.13260530421216848
IOU 35: 0.09192200557103064
IOU 36: 0.14960332451832262
IOU 37: 0.13197211155378485
IOU 38: 0.15858725761772854
IOU 39: 0.11764705882352941
IOU 40: 0.06647763074984248
IOU 41: 0.07692307692307693
IOU 42: 0.10714285714285714
IOU 43: 0.08382449246889326
IOU 44: 0.11533505154639176
IOU 45: 0.06945540647198106
IOU 46: 0.11202635914332784
IOU 47: 0.04780453257790368
IOU 48: 0.0379746835443038
IOU 49: 0.06474820143884892
IOU 50: 0.0646510131875201
IOU 51: 0.016129032258064516
IOU 52: 0.089058524173028
IOU 53: 0.05504587155963303
IOU 54: 0.0037735849056603774
IOU 55: 0.12582056892778992
IOU 56: 0.08341915550978372
IOU 57: 0.0766847405112316
IOU 58: 0.07510885341074021
IOU 59: 0.010834236186348862
IOU 60: 0.07569141193595343
IOU 61: 0.06490264603095357
IOU 62: 0.037018996590355575
IOU 63: 0.1130890052356021
IOU 64: 0.017220172201722016
IOU 65: 0.10128495842781557
IOU 66: 0.07131079967023908
IOU 67: 0.03843255463451394
IOU 68: 0.03587962962962963
IOU 69: 0.09300508010941774
IOU 70: 0.08953168044077135
IOU 71: 0.11202976436544027
IOU 72: 0.08152492668621701
IOU 73: 0.0891123439667129
IOU 74: 0.09116674539442607
IOU 75: 0.12255148166750376
IOU 76: 0.09844322344322344
IOU 77: 0.03983596953719976
IOU 82: 0.10175202156334232
IOU 83: 0.10192407696307852
IOU 84: 0.1133076181292189
IOU 93: 0.08345393150024119
IOU 94: 0.09585289514866979
IOU 95: 0.07993124194241513
IOU 96: 0.10321771834517342
IOU 97: 0.14352840666381889
IOU 98: 0.15438906043228937
IOU 99: 0.15321477428180574
IOU 100: 0.08166058394160584
IOU 101: 0.08560945780676722
IOU 102: 0.08298407376362113
IOU 103: 0.10075949367088607
IOU 104: 0.12815533980582525
IOU 105: 0.13191990577149587
IOU 106: 0.1389541715628672
IOU 107: 0.06216423637759018
IOU 108: 0.14848365498227648
IOU 109: 0.1242876526458616
IOU 110: 0.08139534883720931
IOU 111: 0.07661612130885874
IOU 112: 0.08727539420608728
IOU 113: 0.06456241032998565
IOU 114: 0.0744954128440367
IOU 115: 0.05732261447046487
IOU 116: 0.0794291033198883
IOU 117: 0.06910688140556369
IOU 118: 0.09167148640832852
IOU 119: 0.07180629000834957
IOU 120: 0.0712915601023018
IOU 121: 0.07097288676236045
IOU 122: 0.049518112329677635
IOU 123: 0.09698345767109957
IOU 124: 0.08281095348069945
IOU 125: 0.05290278254895225
IOU 126: 0.09044958765629156
IOU 127: 0.050788091068301226
IOU 128: 0.10279226756673826
Mean 0.09
